date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
20-10-2022,West Bengal,Howrah,3,"PM2.5,PM10",137,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Madhya Pradesh,Ujjain,1,PM10,126,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Bihar,Samastipur,1,PM10,233,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Bihar,Kishanganj,1,PM10,111,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Gujarat,Ahmedabad,1,PM2.5,160,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Bihar,Arrah,1,O3,141,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Bihar,Gaya,3,"PM2.5,PM10",153,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Punjab,Khanna,1,PM2.5,123,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Maharashtra,Nagpur,1,PM2.5,143,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Haryana,Dharuhera,1,PM10,165,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,West Bengal,Siliguri,1,PM10,87,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,West Bengal,Haldia,1,PM10,94,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Odisha,Talcher,1,PM10,91,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Karnataka,Udupi,1,CO,80,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Kerala,Kozhikode,1,PM10,77,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Madhya Pradesh,Katni,1,PM10,125,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Bihar,Rajgir,1,PM10,115,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Uttar Pradesh,Agra,5,"PM2.5,PM10",88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Madhya Pradesh,Damoh,1,PM2.5,85,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-10-2022,Rajasthan,Jodhpur,1,PM2.5,222,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
