date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
13-01-2023,Bihar,Bhagalpur,2,PM2.5,424,Severe,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Vijayapura,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Bahadurgarh,1,PM2.5,294,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Manipur,Imphal,2,SO2,76,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Tamil Nadu,Dindigul,1,NO2,246,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Raichur,1,PM10,122,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Charkhi Dadri,1,PM2.5,235,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,Kanpur,4,PM2.5,203,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Kishanganj,1,PM2.5,360,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Kerala,Thiruvananthapuram,2,PM2.5,116,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Faridabad,3,PM2.5,319,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Madhya Pradesh,Mandideep,1,NO2,84,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Muzaffarpur,3,PM2.5,343,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Narnaul,1,PM2.5,328,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Tamil Nadu,Ariyalur,1,PM2.5,79,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,Greater Noida,2,PM2.5,332,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Siwan,1,PM2.5,359,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Assam,Sivasagar,1,PM2.5,43,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Yadgir,1,PM10,84,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Chandigarh,Chandigarh,2,PM2.5,180,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Kaithal,1,PM2.5,278,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Rohtak,1,PM2.5,322,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Madhya Pradesh,Sagar,2,"PM10,CO",80,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Madhya Pradesh,Bhopal,2,PM10,98,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,West Bengal,Haldia,1,PM10,136,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,Varanasi,4,PM2.5,80,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Chhattisgarh,Raipur,4,"PM2.5,NO2",125,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Manesar,1,PM2.5,317,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Himachal Pradesh,Baddi,1,PM2.5,134,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Saharsa,1,PM2.5,376,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Andhra Pradesh,Anantapur,1,O3,88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
