date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
17-12-2022,Madhya Pradesh,Jabalpur,1,PM10,122,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2022,Odisha,Tensa,1,PM10,82,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2022,Mizoram,Aizawl,1,PM10,38,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2022,Haryana,Yamunanagar,1,PM2.5,313,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2022,Karnataka,Yadgir,1,PM2.5,72,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2022,Uttar Pradesh,Agra,6,PM2.5,131,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2022,Uttar Pradesh,Greater Noida,2,PM10,300,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2022,Haryana,Sonipat,1,PM10,161,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2022,Uttar Pradesh,Vrindavan,1,PM10,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2022,Madhya Pradesh,Bhopal,2,PM10,110,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Narnaul,1,PM10,111,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttarakhand,Dehradun,1,PM2.5,160,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Muzaffarpur,2,PM2.5,333,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Darbhanga,1,PM2.5,362,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Sirsa,1,O3,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Himachal Pradesh,Baddi,1,PM2.5,256,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Gujarat,Vatva,1,PM10,113,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Bahadurgarh,1,PM10,107,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Hubballi,2,CO,74,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Bidar,1,SO2,77,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Kerala,Kollam,1,PM10,91,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,West Bengal,Howrah,3,"PM2.5,O3",237,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Gujarat,Ankleshwar,1,PM2.5,209,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Tamil Nadu,Ramanathapuram,1,PM10,31,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Ballabgarh,1,PM2.5,160,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Madikeri,1,O3,32,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Odisha,Tensa,1,PM10,65,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Katihar,1,PM2.5,372,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Madhya Pradesh,Sagar,2,"CO,O3",86,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Siwan,1,PM2.5,331,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Rajgir,1,PM2.5,242,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Bulandshahr,1,PM2.5,177,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Nagaland,Kohima,1,PM2.5,98,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Shivamogga,1,PM10,42,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Madhya Pradesh,Indore,1,PM10,118,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Kishanganj,1,PM2.5,359,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Madhya Pradesh,Ratlam,1,PM2.5,98,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,West Bengal,Siliguri,1,PM2.5,230,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Telangana,Hyderabad,12,"PM2.5,PM10",96,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Chikkamagaluru,1,PM10,38,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Chhapra,1,PM2.5,274,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Bengaluru,9,"PM2.5,PM10",121,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Muzaffarnagar,1,PM2.5,343,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Khurja,1,PM2.5,130,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Hapur,1,PM10,99,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Koppal,1,CO,88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Yamunanagar,1,PM2.5,251,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Baghpat,1,PM2.5,229,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Mandikhera,1,PM10,83,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Maharashtra,Mumbai,19,"PM2.5,PM10",142,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Odisha,Nayagarh,1,PM10,99,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Hassan,1,PM2.5,38,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Rajasthan,Alwar,1,PM10,81,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Hajipur,1,PM10,188,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Odisha,Talcher,1,PM2.5,115,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Vijayapura,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Prayagraj,3,PM10,88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Gurugram,3,PM2.5,252,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Gujarat,Surat,1,PM2.5,258,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Madhya Pradesh,Jabalpur,1,PM10,136,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Dharuhera,1,PM2.5,185,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Kerala,Kochi,1,PM2.5,85,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Maharashtra,Solapur,1,PM10,77,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Punjab,Khanna,1,PM2.5,169,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Kalaburagi,1,PM2.5,76,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Rajasthan,Jodhpur,1,PM2.5,108,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Motihari,1,PM10,226,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Gujarat,Ahmedabad,1,NO2,150,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Araria,1,PM10,378,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Yadgir,1,PM10,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,West Bengal,Kolkata,7,PM2.5,201,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Meghalaya,Shillong,1,PM2.5,101,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Rajasthan,Kota,1,PM10,147,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Jammu and Kashmir,Srinagar,1,PM2.5,74,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Kaithal,1,PM2.5,129,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Meerut,3,PM2.5,302,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Chamarajanagar,1,PM10,43,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Bettiah,1,PM2.5,316,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Kanpur,4,PM2.5,108,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Maharashtra,Navi Mumbai,1,PM10,145,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Moradabad,6,PM2.5,180,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Madhya Pradesh,Maihar,1,PM10,31,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Varanasi,4,"NO2,O3",66,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Agra,6,PM10,74,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Odisha,Baripada,1,O3,158,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Tamil Nadu,Ooty,1,SO2,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Gaya,3,"PM2.5,PM10",193,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Odisha,Rourkela,1,PM10,198,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Chhattisgarh,Bilaspur,1,CO,88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Tamil Nadu,Thoothukudi,1,O3,42,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Tamil Nadu,Hosur,1,PM2.5,97,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Gorakhpur,1,PM10,98,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Haveri,1,PM10,74,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Tamil Nadu,Tiruppur,1,PM2.5,135,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Rajasthan,Bhiwadi,1,PM10,167,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Delhi,Delhi,36,PM2.5,223,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Faridabad,4,"PM2.5,PM10",204,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Maharashtra,Aurangabad,1,PM2.5,94,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,West Bengal,Asansol,1,PM10,216,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Panchkula,1,PM2.5,163,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Mangalore,1,PM10,76,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Palwal,1,PM10,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Bareilly,2,PM10,128,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Maharashtra,Chandrapur,2,PM2.5,212,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Punjab,Patiala,1,PM10,93,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Maharashtra,Nagpur,1,PM2.5,182,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Tamil Nadu,Kanchipuram,1,SO2,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Sikkim,Gangtok,1,PM2.5,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Sasaram,1,PM10,119,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Rajasthan,Pali,1,PM10,112,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Arrah,1,PM2.5,246,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Purnia,1,PM2.5,419,Severe,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,West Bengal,Durgapur,1,PM10,140,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,West Bengal,Haldia,1,PM10,126,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Maharashtra,Kalyan,1,PM10,138,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Lucknow,6,PM2.5,144,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Tamil Nadu,Chennai,8,"PM2.5,PM10",97,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Punjab,Jalandhar,1,PM2.5,255,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Karnal,1,PM2.5,134,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,NOIDA,4,PM10,154,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Sonipat,1,PM10,145,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Tamil Nadu,Salem,1,SO2,76,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Kerala,Kannur,1,PM2.5,74,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Davanagere,1,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Firozabad,2,PM2.5,104,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Kerala,Thrissur,1,PM10,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Tripura,Agartala,2,PM2.5,358,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Punjab,Ludhiana,1,PM2.5,235,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Madhya Pradesh,Katni,1,PM2.5,166,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Andhra Pradesh,Rajamahendravaram,1,PM2.5,106,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Rohtak,1,PM2.5,115,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Odisha,Brajrajnagar,1,PM10,69,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Odisha,Suakati,1,PM10,96,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Panipat,1,PM10,135,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Jhansi,1,PM10,106,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Mizoram,Aizawl,1,PM10,76,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Manguraha,1,PM2.5,246,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Madhya Pradesh,Damoh,1,PM10,31,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Madhya Pradesh,Pithampur,1,PM2.5,156,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Raichur,1,PM10,96,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Saharsa,1,PM2.5,350,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Gujarat,Gandhi Nagar,1,O3,93,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Charkhi Dadri,1,PM2.5,194,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Punjab,Rupnagar,1,PM10,118,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Maharashtra,Thane,1,PM10,135,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Rajasthan,Jaipur,3,"PM2.5,NO2",156,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Fatehabad,1,PM10,119,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Haryana,Ambala,1,PM2.5,198,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Uttar Pradesh,Greater Noida,2,PM2.5,199,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Karnataka,Ramanagara,1,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Bihar,Aurangabad,1,PM2.5,160,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Odisha,Rairangpur,1,PM10,122,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Assam,Sivasagar,1,PM2.5,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Assam,Nalbari,1,PM2.5,301,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Chandigarh,Chandigarh,3,PM2.5,235,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Andhra Pradesh,Tirupati,2,NO2,78,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Madhya Pradesh,Mandideep,1,PM10,78,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2022,Madhya Pradesh,Dewas,1,PM10,109,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
