date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
20-05-2023,Haryana,Dharuhera,1,PM10,182,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Rajasthan,Udaipur,1,PM10,125,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Karnataka,Madikeri,1,PM10,32,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Maharashtra,Aurangabad,1,PM10,95,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Bihar,Munger,1,PM10,160,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Arunachal Pradesh,Naharlagun,1,PM2.5,31,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Rajasthan,Tonk,1,PM10,162,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Uttar Pradesh,Baghpat,1,PM10,243,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Madhya Pradesh,Ratlam,1,PM10,94,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Rajasthan,Hanumangarh,1,PM10,190,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Bihar,Manguraha,1,O3,78,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Karnataka,Vijayapura,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Haryana,Palwal,1,PM10,89,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Uttarakhand,Rishikesh,1,O3,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Rajasthan,Bundi,1,PM10,148,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Punjab,Amritsar,1,NO2,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Tamil Nadu,Gummidipoondi,1,PM10,120,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Uttar Pradesh,Agra,6,PM10,111,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Uttar Pradesh,Jhansi,1,PM2.5,108,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Rajasthan,Sri Ganganagar,1,PM2.5,124,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Bihar,Sasaram,1,O3,122,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Kerala,Thrissur,1,PM10,88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Uttar Pradesh,Hapur,1,O3,115,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Assam,Sivasagar,1,PM2.5,21,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Gujarat,Ahmedabad,6,PM10,122,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Madhya Pradesh,Damoh,1,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Karnataka,Belgaum,1,PM10,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Madhya Pradesh,Dewas,1,PM10,117,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Karnataka,Yadgir,1,PM10,81,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Odisha,Bileipada,1,PM10,121,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Karnataka,Chikkamagaluru,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Bihar,Aurangabad,1,PM10,171,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Assam,Byrnihat,1,PM10,236,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Karnataka,Bagalkot,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Andhra Pradesh,Kadapa,1,O3,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Haryana,Hisar,1,PM2.5,100,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Odisha,Suakati,1,PM10,88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Karnataka,Tumakuru,1,PM10,130,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Gujarat,Ankleshwar,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Odisha,Nayagarh,1,PM10,106,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Karnataka,Chikkaballapur,1,PM10,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Odisha,Tensa,1,PM10,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Bihar,Katihar,1,PM2.5,88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-05-2023,Haryana,Sonipat,1,PM10,189,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
