date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
14-06-2023,Tamil Nadu,Thoothukudi,1,O3,272,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Rajasthan,Alwar,1,PM10,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Maharashtra,Kolhapur,1,PM2.5,33,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Madhya Pradesh,Jabalpur,1,PM10,90,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Andhra Pradesh,Kadapa,1,NO2,31,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Maharashtra,Amravati,2,PM10,90,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Karnataka,Gadag,1,SO2,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Chandigarh,Chandigarh,3,PM10,105,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Karnataka,Shivamogga,1,O3,67,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Uttar Pradesh,Bareilly,2,PM10,111,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Haryana,Gurugram,3,PM2.5,263,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Maharashtra,Mumbai,16,"PM10,CO",78,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Maharashtra,Jalgaon,1,PM10,106,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Karnataka,Kalaburagi,1,PM10,44,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Rajasthan,Bhiwadi,1,PM2.5,131,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Odisha,Nayagarh,1,PM10,84,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Andhra Pradesh,Tirupati,1,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Chhattisgarh,Korba,2,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Haryana,Manesar,1,PM10,140,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Haryana,Jind,1,PM10,120,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Karnataka,Yadgir,1,PM10,45,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Uttar Pradesh,Greater Noida,2,PM10,238,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-06-2023,Rajasthan,Pali,1,PM10,103,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
