date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
30-11-2024,Madhya Pradesh,Katni,1,PM2.5,228,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Maharashtra,Navi Mumbai,5,PM10,117,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Madhya Pradesh,Pithampur,1,PM2.5,158,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Kerala,Eloor,1,PM2.5,90,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Karnataka,Karwar,1,PM10,83,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Bihar,Sasaram,1,PM2.5,160,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Maharashtra,Badlapur,1,PM10,131,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Karnataka,Chikkamagaluru,1,PM10,43,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Tamil Nadu,Pudukottai,1,PM10,94,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Bihar,Gaya,3,"PM2.5,PM10",129,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Tamil Nadu,Virudhunagar,1,PM10,76,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Madhya Pradesh,Ujjain,1,PM10,99,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Assam,Sivasagar,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Bihar,Begusarai,1,PM2.5,226,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Tamil Nadu,Madurai,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Assam,Nagaon,1,PM2.5,106,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Punjab,Ludhiana,1,PM2.5,242,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Karnataka,Mysuru,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Haryana,Panipat,1,PM2.5,147,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Uttar Pradesh,Lucknow,6,PM2.5,195,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Bihar,Kishanganj,1,PM10,152,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Madhya Pradesh,Gwalior,3,PM2.5,263,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Madhya Pradesh,Ratlam,1,PM10,159,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Madhya Pradesh,Sagar,2,"PM2.5,PM10",170,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Tamil Nadu,Nagapattinam,1,PM2.5,77,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Karnataka,Hubballi,1,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
